entered_value,common_name,scientific_name
wild_dog,african_wild_dog,lycaon_pictus
zebra,plains_zebra,equus_burchelli
tsb,tsessebe,damaliscus_lunatus
giraffe,southern_giraffe,giraffa_camelopardalis
impala,impala,aepyceros_molampus
buffalo,cape_buffalo,syncerus_caffer
elephant,african_elephant,loxodonta_africana
tree_squirrel,tree_squirrel,paraxerus_cepapi
banded_mon,banded_mongoose,mungos_mongo
slender_mon,slender_mongoose,galerella_sanguinea
waterbuck,waterbuck,kobus_ellipsiprymnus
sable,sable_antelope,hippotragus_niger
vervet,ververt_monkey,cercopithecus_aethiops
dw_mon,dwarf_mongoose,helogale_parvula
hippo,hippopotamus,hippopotamus_amphibius
wildebeest,blue_wildebeest,connochaetus_taurinus
