treatment,site,replicate_no,sample,type,count
uc,1,light_trap,light_trap,spider,4
uc,1,light_trap,light_trap,mantid,1
uc,1,light_trap,light_trap,larvae,5
uc,1,light_trap,light_trap,aphid,4
uc,1,light_trap,light_trap,fly,18
c,1,9,c1-9,beetle,1
c,1,9,c1-9,ant,1
c,1,9,c1-9,unkown,1
uc,1,10,uc1-10,grasshopper,1
uc,1,10,uc1-10,larvae,1
uc,1,10,uc1-10,spider,1
uc,1,10,uc1-10,ant,13
uc,1,5,uc1-5,beetle,1
uc,1,5,uc1-5,spider,1
uc,1,7,uc1-7,beetle,5
uc,1,7,uc1-7,fly,1
uc,1,7,uc1-7,ant,1
uc,1,3,uc-3,fly,1
uc,1,3,uc-3,beetle,1
uc,1,3,uc-3,ant,1
uc,1,3,uc-3,unkown,1
uc,1,6,uc1-6,beetle,1
uc,1,4,uc1-4,beetle,1
uc,1,2,uc1-2,unkown,1
uc,1,8,uc1-8,beetle,2
uc,1,8,uc1-8,ant,5
uc,1,1,uc1-1,larvae,1
c,1,7,c1-7,grasshopper,1
c,1,7,c1-7,ant,3
c,1,7,c1-7,fly,1
c,1,7,c1-7,unkown,1
c,1,10,c1-10,spider,1
c,1,10,c1-10,beetle,4
c,1,10,c1-10,ant,5
c,1,2,c1-2,spider,1
c,1,2,c1-2,ant,3
c,1,2,c1-2,fly,1
c,1,9,c1-9,plant_hopper,1
c,1,9,c1-9,ant,23
c,1,6,c1-6,ant,4
c,1,6,c1-6,fly,5
c,1,1,c1-1,spider,1
c,1,1,c1-1,ant,1
c,1,8,c1-8,plant_hopper,1
c,1,8,c1-8,ant,18
c,1,5,c1-5,spider,2
c,1,5,c1-5,termite,1
c,1,5,c1-5,ant,6
c,1,5,c1-5,unkown,1
c,1,5,c1-5,fly,4
c,1,5,c1-5,beetle,1
c,1,3,c1-3,ant,0
c,1,4,c1-4,ant,10
c,2,6,c2-6,ant,4
c,2,6,c2-6,beetle,1
c,2,5,c2-5,beetle,3
c,2,5,c2-5,ant,9
c,2,4,c2-4,ant,8
c,2,9,c2-9,beetle,5
c,2,2,c2-2,ant,0
c,2,3,c2-3,ant,3
c,2,1,c2-1,ant,3
c,2,9,c2-9,ant,1
c,2,9,c2-9,unkown,1
c,2,10,c2-10,ant,11
c,2,10,c2-10,springtail,3
c,2,10,c2-10,plant_hopper,1
c,2,10,c2-10,beetle,3
c,2,8,c2-8,ant,9
c,2,7,c2-7,ant,2
uc,2,2,uc2-2,springtail,31
uc,2,2,uc2-2,spider,1
uc,2,2,uc2-2,ant,7
uc,2,2,uc2-2,fly,1
uc,2,7,uc2-7,springtail,6
uc,2,7,uc2-7,ant,3
uc,2,1,uc2-1,springtail,52
uc,2,1,uc2-1,larvae,1
uc,2,1,uc2-1,ant,30
uc,2,1,uc2-1,fly,1
uc,2,3,uc2-3,ant,23
uc,2,3,uc2-3,springtail,21
uc,2,3,uc2-3,larvae,1
uc,2,5,uc2-5,ant,11
uc,2,5,uc2-5,fly,1
uc,2,5,uc2-5,springtail,1
uc,2,9,uc2-9,ant,11
uc,2,9,uc2-9,spider,1
uc,2,9,uc2-9,springtail,2
uc,2,6,uc2-6,springtail,7
uc,2,6,uc2-6,larvae,1
uc,2,6,uc2-6,ant,68
uc,2,4,uc2-4,springtail,9
uc,2,4,uc2-4,ant,8
uc,2,4,uc2-4,fly,1
uc,2,8,uc2-8,ant,15
uc,2,8,uc2-8,springtail,2
