Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
Red-eyed Dove (Streptopelia semitorquata),3,Maun--Audi Camp,Incidental,"Jun 29, 2024",5:53 PM,,,,,1,FALSE,2 species,
African Grey Hornbill (Lophoceros nasutus),1,Maun--Audi Camp,Incidental,"Jun 29, 2024",5:53 PM,,,,,1,FALSE,2 species,
Red-billed Spurfowl (Pternistis adspersus),2,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Red-eyed Dove (Streptopelia semitorquata),5,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Ring-necked Dove (Streptopelia capicola),5,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Laughing Dove (Spilopelia senegalensis),2,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
African Green-Pigeon (Treron calvus),5,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Grey Go-away-bird (Crinifer concolor),1,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Green Woodhoopoe (Phoeniculus purpureus),2,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
African Grey Hornbill (Lophoceros nasutus),3,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Southern Red-billed Hornbill (Tockus rufirostris),4,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Gabon Boubou (Laniarius bicolor),2,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Magpie Shrike (Urolestes melanoleucus),6,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Yellow-bellied Greenbul (Chlorocichla flaviventris),2,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Black-fronted Bulbul (Pycnonotus nigricans),4,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,Red eye ring.
Arrow-marked Babbler (Turdoides jardineii),3,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
Red-billed Oxpecker (Buphagus erythroryncha),4,Maun--Audi Camp,Traveling,"Jun 30, 2024",8:24 AM,"3 hour(s), 35 minute(s)",2.117 kilometer(s),,,1,TRUE,19 species,
