Common name,Scientific name,,,2024,2025,2023
Carnivores,,,,,,
Dwarf mongoose,Helogale parvula,,,,2993.77,
Banded mongoose*,Mungos mungo,,,26073.98,22568.52,2628.61
Lion,Panthera leo,,,,10283.73,
Crocodile,Crocodylus niloticus,,,,363.55,
Herbivores,,,,,,
Impala,Aepyceros molampus,,,44129.75,79331.89,41175.13
Blue wildebeest,Connochaetus taurinus,,,191.58,1758.09,559.29
Tsessebe,Damaliscus lunatus,,,974.17,468.83,876
Southern giraffe,Giraffa camelopardalis,,,2008.78,807.83,2006.39
Hippopotamus *,Hippopotamus amphibius,,,,6680.72,
Waterbuck,Kobus ellipsiprymnus,,,,1406.47,
Lechwe,Kobus leche,,,,351.62,
Warthog,Phacochoerus africanus,,,1652.83,1222.04,1275.88
Steenbok,Raphicerus campestris,,,667.19,847.06,
Reedbuck,Redunca arundinum,,,,234.41,
Cape buffalo*,Syncerus caffer_caffer,,,468.25,19883.63,1844.51
Greater kudu,Tragelaphus strepsiceros,,,1369.44,234.41,1045.02
Plains zebra,Equus burchelli,,,16962.83,8790.43,10788.7
African elephant*,Loxodonta africana,,,6268.44,23330.8,3741.03
Primates,,,,,,
Vervet monkey,Cercopithecus aethiops,,,3338.9,3101.72,13588.49
Chacma baboon,Papio ursinus,,,6531.86,13338.12,22960.65
 Not sure how this method is for hippos,,,,,,
