Common name,Scientific name,Survey,Density,Density SE
Impala,Aepyceros melampus,2019,10.32,2.05
Impala,Aepyceros melampus,2023,23.53,0.92
Impala,Aepyceros melampus,2024,25.22,14.19
Impala,Aepyceros melampus,2025,45.33,16.15
Plains zebra,Equus quagga,2019,7.23,1.01
Plains zebra,,2023,6.16,0.43
Plains zebra,,2024,9.69,11.29
Plains zebra,,2025,5.02,1.87
Southern giraffe,Giraffa giraffa,2019,1.19,0.26
Southern giraffe,,2023,1.15,0.18
Southern giraffe,,2024,1.15,0.42
Southern giraffe,,2025,0.46,0.23
African Savannah elephant,Loxodonta africana,2019,3.22,1.4
African Savannah elephant,,2023,2.14,0.67
African Savannah elephant,,2024,3.58,0.67
African Savannah elephant,,2025,13.33,2.5
Greater kudu,Tragelaphus strepsiceros,2019,2.15,0.32
Greater kudu,,2023,0.6,0.11
Greater kudu,,2024,0.78,0.9
Greater kudu,,2025,0.13,0.1
