id,species,undet,ad_m,ad_f,ad_u,sub_m,sub_f,sub_u,juv_m,juv_f,juv_u,count,distance,angle,odometer,lat,lon,notes
1,wild_dog,3,,,,,,,,,,3,400,30,0,-19.11692796,23.51264904,
1,zebra,4,,,,,,,,,,4,254,70,0.4,-19.116553,23.509024,
1,tsb,6,,,,,,,,,,6,238,70,0.4,-19.116553,23.509024,
1,giraffe,1,,,,,,,,,,1,868,70,0.8,-19.11594573,23.50491226,
1,impala,,1,3,,,,,,,,4,53,80,1.2,-19.11365962,23.50280936,
1,zebra,,,,6,,,2,,,,8,76,10,1.5,-19.1115524,23.50178072,
1,giraffe,,1,,,,,,,,,1,142,90,1.7,-19.110001,23.50215259,
1,buffalo,,4,,,,,,,,,4,39,80,2,-19.10739039,23.5034384,
1,elephant,,2,,,,,,,,,2,34,60,2.1,-19.10699092,23.50391497,
1,zebra,3,,,,,,,,,,3,108,80,2.8,-19.10107918,23.50453376,
1,zebra,3,,,,,,,,,,3,64,80,3.5,-19.09847138,23.50688676,
1,tree_squirrel,2,,,,,,,,,,2,11,70,4.1,-19.09839431,23.51244891,
1,tree_squirrel,5,,,,,,,,,,5,26,90,4.3,-19.09884606,23.51422223,
1,buffalo,,2,,,,,,,,,2,41,20,4.3,-19.09884606,23.51422223,
1,impala,13,,,,,,,,,,13,25,0,4.6,-19.0994378,23.51643114,possibly not undetermined
1,buffalo,3,,,,,,,,,,3,205,80,8.7,-19.1142491,23.54439922,possibly not undetermined
1,giraffe,2,,,,,,,,,,2,523,80,8.7,-19.1142491,23.54439922,possibly not undetermined
1,zebra,1,,,,,,,,,,1,242,80,8.7,-19.1142491,23.54439922,
1,impala,,1,5,,,,,,,,6,29,90,9.2,-19.1142873,23.54838223,
1,zebra,,,,3,,,,,,1,4,224,45,9.5,-19.113088,23.54783,
1,impala,,,13,,5,,,,,,18,119,30,9.5,-19.113088,23.54783,
1,zebra,,,,3,,,,,,,3,349,30,9.5,-19.113088,23.54783,
1,impala,,3,,,,,,,,,3,348,30,9.5,-19.113088,23.54783,
2.1,tsb,,,,1,,,,,,,1,545,85,0,-19.11728,23.51128,
2.1,impala,,1,2,,,,,,,,3,103,35,0.4,-19.11621,23.50707,
2.1,giraffe,,,4,,,,,,,,4,494,85,2,-19.10631,23.50448,
2.1,zebra,,,,2,,,,,,25,27,250,85,2,-19.10631,23.50448,
2.1,zebra,,,,2,,,,,,,2,84,10,,-19.09803,23.50633,
2.1,impala,,,7,,1,,,,,,8,27,65,3,-19.0984,23.51245,
2.1,elephant,,,,4,,,2,,,1,7,91.4,65,3.8,-19.09909,23.5225,
2.1,zebra,,,,2,,,1,,,,3,46.9,85,5,-19.09729,23.52466,
2.1,tree_squirrel,,,,2,,,,,,,2,13.8,85,5.3,-19.10303,23.53622,
2.1,tree_squirrel,,,,2,,,,,,,2,23,65,7,-19.10677,23.53925,
2.1,impala,,1,5,,,,,,,,6,54.6,55,7.6,-19.11147,23.54371,
2.1,vervet,,,,2,,,,,,3,5,20.2,55,8.6,-19.11136,23.54451,
2.2,dw_mon,,,,4,,,,,,,4,12.8,75,8.7,-19.11136,23.54451,
2.2,elephant,,,,1,,,,,,,1,161.3,20,8.7,-19.1149,23.55885,
2.2,tree_squirrel,,,,2,,,,,,,2,29.8,65,10.65,-19.2211,23.56614,
2.2,hippo,,,,1,,,,,,,1,137.2,30,13,-19.2211,23.56614,
2.2,zebra,,,1,,,,,,,,1,30.7,40,13.3,-19.1221,23.5633,
2.2,tree_squirrel,,,,2,,,,,,,2,15.4,55,13.5,-19.12114,23.56335,
2.2,slender_mon,,,,1,,,,,,,1,21.2,70,13.5,-19.12114,23.56335,
2.2,banded_mon,,,,,,,,,,,0,8.7,85,14.9,-19.11666,23.55129,
2.2,zebra,,,,27,,,1,,,1,29,120,35,15.5,-19.11415,23.54773,
2.2,zebra,,,,19,,,,,,2,21,544,85,15.5,-19.11415,23.54773,
2.2,waterbuck,,,,1,,,,,,,1,544,35,15.5,-19.11415,23.54773,
2.2,wildebeest,,,,1,,,,,,,1,544,35,15.5,-19.11415,23.54773,
2.2,giraffe,,1,,,,,,,,,1,45,75,16,-19.11468,23.54392,
2.2,sable,,1,,,,,,,,,1,67,65,16.4,-19.11598,23.54101,
2.2,impala,,,12,,,,,,,,12,196,55,16.7,-19.11488,23.53837,
2.2,impala,,1,4,,,,,,,,5,180,20,16.7,-19.11488,23.53837,
2.2,impala,,,22,,1,,,,,,23,40,65,17.3,-19.11574,23.53365,
2.2,impala,,2,,,2,,,,,,4,190,65,17.9,-19.11807,23.52876,
2.2,zebra,,1,1,,,,,,,,2,88,30,18.3,-19.11847,23.52523,
2.2,giraffe,,,,,,1,,,,,1,520,35,18.7,-19.11908,23.52205,
2.2,giraffe,,,3,,2,,,,,,5,125,5,19.1,-19.11924,23.51836,
2.2,giraffe,,1,,,,,,,,,1,62,90,19.7,-19.11834,23.51388,
3.1,zebra,,,,9,,,1,,,,10,151,70,0.158,-19.11877,23.51447,
3.1,impala,1,1,4,,,,,,,,6,215,80,0.158,-19.11877,23.51447,
3.1,warthog,,1,,,,,,,,,1,194,80,0.158,-19.11877,23.51447,
3.1,warthog,,1,1,,,,,,,,2,292,30,0.406,-19.11903,23.51699,
3.1,warthog,,1,,,,,,,,,1,166,45,0.406,-19.11903,23.51699,
3.1,ostrich,,1,,,,,,,,,1,310,50,2,-19.11714,23.53044,
3.1,impala,,1,5,1,,,,,,,7,173,60,2.3,-19.11649,23.53239,
3.1,zebra,1,,,,,,,,,,1,179,60,2.3,-19.11649,23.53239,
3.1,kudu,,1,,,,,,,,,1,170,90,3.6,-19.11526,23.54292,
3.1,impala,2,,1,,,,,,,,3,239,80,3.6,-19.11526,23.54292,
3.1,kudu,,1,,,,,,,,,1,419,40,3.6,-19.11526,23.54292,
3.1,zebra,,,,8,,,,,,1,9,125,50,4.1,-19.11423,23.54716,
3.1,zebra,42,,,,,,,,,1,43,571,90,4.2,-19.11416,23.54782,
3.1,kudu,,1,4,,,,,,,,5,364,80,4.2,-19.11416,23.54782,
3.1,impala,,1,,,,,,,,,1,133,80,4.2,-19.11416,23.54782,
3.1,tsb,,,,5,,,,,,,5,375,70,4.2,-19.11416,23.54782,
3.1,waterbuck,,3,,,,,,,,,3,377,70,4.2,-19.11416,23.54782,
3.1,kudu,,,5,,,,,,,1,6,63,90,4.5,-19.11515,23.55018,
3.1,zebra,,,,7,,,,,,1,8,265,90,4.5,-19.11515,23.55018,
3.1,vervet,,1,,3,,,,,,3,7,57,0,4.7,-19.11633,23.55097,
3.1,impala,,1,13,9,,1,,,,,24,152,90,4.9,-19.11715,23.55264,
3.1,tree_squirrel,,,,1,,,,,,,1,19,80,5.2,-19.11777,23.55504,
3.1,tree_squirrel,,,,1,,,,,,,1,24,10,5.2,-19.11777,23.55504,
3.1,impala,,2,6,,,,,,,,8,173,90,6,-19.1201,23.56147,
3.1,bb_jackal,,,,1,,,,,,,1,56,20,6,-19.1201,23.56147,
3.1,wildebeest,,1,,2,,,,,,,3,161,90,6,-19.1201,23.56147,
3.1,tree_squirrel,,,,2,,,,,,,2,10,10,6.3,-19.12171,23.56322,
3.1,baboon,,,,16,,,,,,4,20,74,20,6.5,-19.12245,23.56441,
3.1,tree_squirrel,,,,3,,,,,,,3,10,20,6.6,-19.12207,23.56515,
3.1,zebra,,,,15,,,2,,,,17,109,20,6.6,-19.12216,23.56557,
3.1,impala,,1,,8,2,3,,,,,14,44,0,7.8,-19.11725,23.56808,
3.1,elephant,,,,1,,,1,,,,2,162,45,8,-19.11741,23.56673,
3.1,elephant,,,,,,,1,,,,1,37,80,8.2,-19.11591,23.56512,
3.1,tree_squirrel,,,,1,,,,,,,1,8,10,8.2,-19.11591,23.56512,
3.1,impala,,,,1,,,,,,,1,23,90,9.6,-19.11136,23.55489,
3.1,slender_mon,,,1,4,,,,,,,5,11,20,9.7,-19.11111,23.55403,
3.1,steenbok,,,1,,,,,,,,1,25,45,10.3,-19.1114,23.54885,
3.2,zebra,,,,7,,,,,,,7,566,90,10.5,-19.11096,23.54751,
3.2,elephant,,1,,,1,,,,,,2,33,80,10.5,-19.11075,23.54731,
3.2,impala,,1,2,,,,,,,,3,148,30,10.5,-19.11075,23.54731,
3.2,impala,,8,2,,,,,,,,10,525,70,10.6,-19.11063,23.54665,
3.2,impala,,7,,,,,,,,,7,60,80,10.7,-19.11096,23.54608,
3.2,tree_squirrel,,,,1,,,,,,,1,10,80,10.9,-19.11142,23.54405,
3.2,impala,,1,,,1,,,,,,2,33,60,10.9,-19.11142,23.54405,
3.2,impala,,,1,,,,,,,,1,75,60,11.1,-19.11207,23.54252,
3.2,elephant,,1,,,,,,,,,1,67,90,11.3,-19.1114,23.54089,
3.2,giraffe,,1,,,,,,,,,1,111,0,11.7,-19.10868,23.54002,
3.2,tree_squirrel,,,,1,,,,,,,1,2,90,12.3,-19.10397,23.53673,
3.2,tree_squirrel,,,,1,,,,,,,1,5,30,18.2,-19.11234,23.5021,
3.2,impala,,2,16,,,,,,,,18,73,70,18.3,-19.11331,23.50251,
3.2,warthog,,,,2,,,,,,,2,44,90,19,-19.11617,23.50675,
4.1,warthog,,,1,,,,,,,,1,220,30,0.56,-19.11938,23.517644,
4.1,zebra,,,,3,,,1,,,,4,40,90,1.3,-19.118616,23.5523836,
4.1,giraffe,,1,,,,,,,,,1,480,60,1.7,-19.117683,23.527101,
4.1,tsb,,,,1,,,,,,,1,330,60,2.17,-19.116745,23.53099,
4.1,impala,,,12,,,,,,,,12,177,60,2.32,-19.116516,23.532337,
4.1,tsb,,,,5,,,,,,,5,197,70,2.7,-19.114673,23.535298,
4.1,impala,,1,,,,,,,,,1,280,40,3.6,-19.115461,23.542608,
4.1,impala,,1,4,,,,,,,,5,73,10,3.9,-19.115154,23.544787,
4.1,impala,,8,18,,,,,,,,26,56,80,3.9,-19.115154,23.544787,
4.1,wildebeest,,1,,,,,,,,,1,56,80,3.9,-19.115154,23.544787,
4.1,zebra,,,,9,,,,,,2,11,212,45,3.97,-19.115193,23.545438,
4.1,waterbuck,,3,,,,,,,,,3,490,85,4.25,-19.114182,23.546755,
4.1,impala,,1,,,,,,,,,1,62,65,4.25,-19.114182,23.546755,
4.1,zebra,,,,6,,,,,,,6,410,85,4.25,-19.114182,23.546755,
4.1,warthog,,,,1,,,,,,,1,400,90,4.25,-19.114182,23.546755,
4.1,tree_squirrel,,,,2,,,,,,,2,26,25,4.34,-19.1142,23.548522,
4.1,zebra,,,,8,,,,,,,8,75,30,6.23,-19.120938,23.562831,
4.1,impala,,,,19,,,,,,,19,79,5,6.23,-19.120938,23.562831,
4.1,baboon,,,,6,,,,,,,6,80,20,6.23,-19.120938,23.562831,
4.1,tree_squirrel,,,,1,,,,,,,1,12,65,9.7,-19.111461,23.55462,
4.1,impala,,,6,,,,,,,,6,30,50,9.89,-19.110891,23.553169,
4.1,kudu,,2,,,,,,,,,2,56,5,10.68,-19.110588,23.54676,
4.2,elephant,,,,,,,,,,,0,50,75,15.55,-19.098778,23.513795,
4.2,tree_squirrel,,,,2,,,,,,,2,40,90,15.55,-19.098778,23.513795,
4.2,elephant,,,,7,,,2,,,4,13,120,90,15.68,-19.09852,23.551237,
4.2,impala,,1,2,,,,,,,,3,29,55,16.88,-19.100335,23.504607,
4.2,impala,,,,,,,,,,,0,255,15,17.2,-19.103162,23.504315,
4.2,waterbuck,,1,3,,,,,,,,4,219,15,18.88,-19.115723,23.504248,
4.2,warthog,,,,3,,,,,,,3,206,10,18.88,-19.115723,23.504248,
4.2,impala,,,,,,,,,,,0,270,30,18.88,-19.115723,23.504248,
4.2,impala,,2,37,,,,,,,,39,176,0,18.93,-19.115915,23.504834,
4.2,tsb,,1,4,,,,,,,,5,170,0,19.93,-19.115915,23.504834,
4.2,warthog,,,,1,,,,,,,1,154,20,18.93,-19.115915,23.504834,
5.1,Elephant,,1,,,,,,,,,1,180,30,0.36,-19.11636,23.50863,
5.1,giraffe,,,,1,,,,,,,1,900,80,0.36,-19.1164,23.50863,
5.1,tsb,,,,5,,,,,,,5,405,75,0.45,-19.11625,23.50772,
5.1,wildebeest,,,,1,,,,,,,1,405,75,0.45,-19.11625,23.50772,
5.1,bb_jackal,,,,1,,,,,,,1,54,85,0.49,-19.11627,23.5074,
5.1,warthog,,1,,,,,,,,,1,492,45,0.49,-19.11627,23.5074,
5.1,giraffe,,1,,,,,,,,,1,325,10,0.87,-19.12072,23.50497,
5.1,impala,,,30,,1,,,,,,31,169,5,0.87,-19.11537,23.50416,
5.1,giraffe,,1,2,,,,,,,,3,167,75,2.6,-19.10193,23.5044,
5.1,warthog,,,,3,,,,,,,3,85,60,2.6,-19.10193,23.5044,
5.1,impala,,1,,,4,13,,,,,18,82,0,3.18,-19.09768,23.50557,
5.1,steenbok,,,,1,,,,,,,1,58,90,3.36,-19.0985,23.50727,
5.1,elephant,,,4,,,,,,,2,6,107,90,4.94,-19.09931,23.52102,
5.1,elephant,,,,1,,,,,,,1,109,90,5.36,-19.0976,23.52438,
5.1,steenbok,,,,1,,,,,,,1,150,0,8.37,-19.11191,23.5424,
5.1,impala,,1,,,,,,,,,1,29,30,8.79,-19.11049,23.5461,
5.1,impala,,2,,,,,,,,,2,22,90,9.42,-19.11049,23.551237,
5.1,banded_mon,,,,15,,,,,,,15,5,0,9.49,-19.11198,23.55342,
5.1,vervet,,,,2,,,,,,,2,38,90,9.82,-19.11128,23.5547,
5.2,impala,,1,,,,,,,,,1,34,10,0.95,-19.1221,23.5633,
