system:index,sum,year,.geo
0_0,5811.203458308803,1990-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
1_0,4767.263417247032,1991-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
10_0,6627.719854427329,2000-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
11_0,8075.774781562184,2001-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
12_0,6214.996596017749,2002-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
13_0,3829.894895031491,2003-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
14_0,7972.286840600938,2004-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
15_0,6190.94747194318,2005-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
16_0,7420.264661773646,2006-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
17_0,7407.552054170141,2007-07-01,"{""type"":""Polygon"",""coordinates"":[[[21.995671332376105,-18.60326358851667],[22.290686112992944,-18.941764024773665],[21.945233677078022,-19.496174215276806],[22.84439596955849,-20.312802846252264],[22.446828220535053,-20.553449920435497],[22.55600485627724,-20.702538393128542],[22.921300266433494,-20.473704939798598],[23.135533664870994,-20.335983092886277],[23.39371237580849,-20.145287068797384],[23.44452414338662,-20.082099766235665],[23.67935690705849,-19.820053034004616],[24.2568257791288,-19.12348461449692],[23.482976291824116,-18.67003886902422],[23.36761984651162,-18.603022835216123],[23.271782594769544,-18.545872902487968],[23.06618246858193,-18.425270339271584],[22.455754612136616,-18.79034093660079],[21.83090720002724,-18.190590538447204],[21.700444553542866,-18.272112604111847],[21.995671332376105,-18.60326358851667]]]}"
