system:index,annual_avg_precipitation,year,.geo
0,305.7896608453047,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,373.0429130881021,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,438.78450342549877,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,349.1575820087575,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,412.6085812770296,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,404.46440580003974,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,321.3626100563147,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,450.14637772227803,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,612.9910612526902,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,364.6259817774848,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,572.242254881176,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,263.810174924839,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,433.1333157015405,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,397.17915247948997,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,305.1410734347047,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,502.3756541374884,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,458.9028682971766,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,420.1427039735734,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,377.32753563011846,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,617.9155898550841,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,505.50030792059715,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,313.4696788447245,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,325.586357364998,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,502.24456266271113,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,425.52235461025873,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,685.4957547180999,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,437.8655447079555,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,629.1614849234313,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,637.9933610321922,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,603.8050082315633,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,620.1907649803526,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,442.00146419723427,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,348.07315147015396,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,549.59771936489,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,280.5470765410726,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,433.9975201405772,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,704.8924682817675,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,407.9284976480743,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,209.82630175022746,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,549.6007764241529,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,574.9903015455075,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,497.2929530667708,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,192.81831854546044,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,299.93022659313533,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,389.85421994725885,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
